Rank,Release Group,Worldwide,Domestic,%,Foreign,%
141,SUGA: Agust D Tour 'D-DAY' the Movie,"$6,791,851","$1,951,896",28.7%,"$4,839,955",71.3%
142,Moshimo Tokugawa Ieyasu Ga Souridaijin Ni Nattara,"$6,760,259",-,-,"$6,760,259",100%
143,"April, Come She Will","$6,719,810",-,-,"$6,719,810",100%
144,Cuckoo,"$6,680,377","$6,217,733",93.1%,"$462,644",6.9%
145,Troll Factory,"$6,676,327",-,-,"$6,676,327",100%
146,Baghead,"$6,671,780",-,-,"$6,671,780",100%
147,Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,"$6,650,738",-,-,"$6,650,738",100%
148,I.S.S.,"$6,605,079","$6,573,799",99.5%,"$31,280",0.5%
149,N'avoue jamais,"$6,483,574",-,-,"$6,483,574",100%
150,Lim Young Woong: Im Hero the Stadium,"$6,366,332",-,-,"$6,366,332",100%
151,Major Grom: The Game,"$6,364,004",-,-,"$6,364,004",100%
152,Project Silence,"$6,277,691",-,-,"$6,277,691",100%
153,Devara Part 1,"$6,239,402","$5,600,000",89.8%,"$639,402",10.2%
154,Columbia 100th Anniversary Series Columbia 100th Anniversary Series,"$6,216,473","$6,013,515",96.7%,-,-
155,The Book of Clarence,"$6,205,230","$6,132,813",98.8%,"$72,417",1.2%
156,Buffalo Kids,"$6,172,458",-,-,"$6,172,458",100%
157,Lee,"$6,158,806","$712,141",11.6%,"$5,446,665",88.4%
158,Someone Like You,"$5,937,306","$5,937,306",100%,-,-
159,The Killer's Game,"$5,924,687","$5,400,640",91.2%,"$524,047",8.8%
160,Force of Nature: The Dry 2,"$5,786,313","$58,690",1%,"$5,727,623",99%
161,Dragonkeeper,"$5,737,248","$805,091",14%,"$4,932,157",86%
162,Air,"$5,466,289",-,-,"$5,466,289",100%
163,Waves,"$5,458,874",-,-,"$5,458,874",100%
164,School of Magical Animals 3,"$5,361,544",-,-,"$5,361,544",100%
165,I Saw the TV Glow,"$5,358,671","$5,017,817",93.6%,"$340,854",6.4%
166,Hit Man,"$5,348,633",-,-,"$5,348,633",100%
